section,year,acquisition_dates,n_scenes
sacramento_39,2012,2012-07-04,1
sacramento_39,2014,"2014-07-12, 2014-07-25",2
sacramento_39,2016,2016-07-09,1
sacramento_39,2018,2018-07-15,1
sacramento_39,2020,2020-07-08,1
sacramento_39,2022,2022-07-13,1
sacramento_4,2009,2009-07-01,1
sacramento_4,2010,"2010-07-13, 2010-07-19",2
sacramento_4,2012,2012-07-02,1
sacramento_4,2014,"2014-07-25, 2014-07-28",2
sacramento_4,2016,"2016-07-12, 2016-07-16",2
sacramento_4,2018,"2018-07-19, 2018-10-08",2
sacramento_4,2020,2020-07-12,1
sacramento_4,2022,2022-07-16,1
sacramento_40,2009,2009-07-01,1
sacramento_40,2010,2010-07-22,1
sacramento_40,2012,2012-07-04,1
sacramento_40,2014,"2014-07-12, 2014-07-25",2
sacramento_40,2016,2016-07-09,1
sacramento_40,2018,2018-07-15,1
sacramento_40,2020,2020-07-08,1
sacramento_40,2022,2022-07-13,1
sacramento_41,2009,2009-07-01,1
sacramento_41,2010,2010-07-22,1
sacramento_41,2012,2012-07-04,1
sacramento_41,2014,"2014-07-12, 2014-07-25",2
sacramento_41,2016,2016-07-09,1
sacramento_41,2018,2018-07-15,1
sacramento_41,2020,2020-07-08,1
sacramento_41,2022,2022-07-13,1
sacramento_42,2009,2009-07-01,1
sacramento_42,2010,2010-07-22,1
sacramento_42,2012,2012-07-04,1
sacramento_42,2014,"2014-07-12, 2014-07-25",2
sacramento_42,2016,"2016-07-09, 2016-07-10",2
sacramento_42,2018,2018-07-15,1
sacramento_42,2020,2020-07-08,1
sacramento_42,2022,2022-07-13,1
sacramento_43,2009,2009-07-01,1
sacramento_43,2010,2010-07-22,1
sacramento_43,2012,2012-07-04,1
sacramento_43,2014,"2014-07-12, 2014-07-25",2
sacramento_43,2016,"2016-07-09, 2016-07-10",2
sacramento_43,2018,2018-07-15,1
sacramento_43,2020,2020-07-08,1
sacramento_43,2022,2022-07-13,1
sacramento_44,2009,2009-07-01,1
sacramento_44,2010,2010-07-22,1
sacramento_44,2012,2012-07-04,1
sacramento_44,2014,"2014-07-12, 2014-07-25",2
sacramento_44,2016,2016-07-10,1
sacramento_44,2018,2018-07-15,1
sacramento_44,2020,2020-07-08,1
sacramento_44,2022,"2022-07-08, 2022-07-13",2
sacramento_45,2009,2009-07-01,1
sacramento_45,2010,2010-07-22,1
sacramento_45,2012,2012-07-04,1
sacramento_45,2014,"2014-07-12, 2014-07-25",2
sacramento_45,2016,2016-07-10,1
sacramento_45,2018,2018-07-15,1
sacramento_45,2020,2020-07-08,1
sacramento_45,2022,2022-07-08,1
sacramento_46,2009,2009-07-01,1
sacramento_46,2010,2010-07-22,1
sacramento_46,2012,2012-07-04,1
sacramento_46,2014,"2014-07-12, 2014-07-25",2
sacramento_46,2016,2016-07-10,1
sacramento_46,2018,2018-07-15,1
sacramento_46,2020,2020-07-08,1
sacramento_46,2022,2022-07-08,1
sacramento_47,2009,2009-07-01,1
sacramento_47,2010,2010-07-22,1
sacramento_47,2012,2012-07-04,1
sacramento_47,2014,"2014-07-12, 2014-07-25",2
sacramento_47,2016,2016-07-10,1
sacramento_47,2018,2018-07-15,1
sacramento_47,2020,2020-07-08,1
sacramento_47,2022,2022-07-08,1
sacramento_48,2009,2009-07-01,1
sacramento_48,2010,2010-07-22,1
sacramento_48,2012,2012-07-04,1
sacramento_48,2014,"2014-07-12, 2014-07-25",2
sacramento_48,2016,2016-07-10,1
sacramento_48,2018,2018-07-15,1
sacramento_48,2020,2020-07-08,1
sacramento_48,2022,2022-07-08,1
sacramento_49,2009,2009-07-01,1
sacramento_49,2010,2010-07-22,1
sacramento_49,2012,2012-07-04,1
sacramento_49,2014,"2014-07-12, 2014-07-25",2
sacramento_49,2016,2016-07-10,1
sacramento_49,2018,2018-07-15,1
sacramento_49,2020,2020-07-08,1
sacramento_49,2022,2022-07-08,1
sacramento_5,2009,2009-07-01,1
sacramento_5,2010,"2010-07-13, 2010-07-19",2
sacramento_5,2012,2012-07-02,1
sacramento_5,2014,"2014-07-25, 2014-07-28",2
sacramento_5,2016,"2016-07-12, 2016-07-16",2
sacramento_5,2018,"2018-07-19, 2018-10-08",2
sacramento_5,2020,2020-07-12,1
sacramento_5,2022,2022-07-16,1
sacramento_50,2009,2009-07-01,1
sacramento_50,2010,2010-07-22,1
sacramento_50,2012,2012-07-04,1
sacramento_50,2014,"2014-07-12, 2014-07-25",2
sacramento_50,2016,2016-07-10,1
sacramento_50,2018,2018-07-15,1
sacramento_50,2020,2020-07-08,1
sacramento_50,2022,2022-07-08,1
sacramento_51,2009,2009-07-01,1
sacramento_51,2010,2010-07-22,1
sacramento_51,2012,2012-07-04,1
sacramento_51,2014,"2014-07-12, 2014-07-25",2
sacramento_51,2016,2016-07-10,1
sacramento_51,2018,2018-07-15,1
sacramento_51,2020,2020-07-08,1
sacramento_51,2022,2022-07-08,1
sacramento_52,2009,2009-07-01,1
sacramento_52,2010,"2010-07-10, 2010-07-22",2
sacramento_52,2012,2012-07-04,1
sacramento_52,2014,"2014-07-12, 2014-07-24, 2014-07-25",3
sacramento_52,2016,2016-07-10,1
sacramento_52,2018,2018-07-15,1
sacramento_52,2020,2020-07-08,1
sacramento_52,2022,2022-07-08,1
sacramento_53,2009,2009-07-01,1
sacramento_53,2010,"2010-07-10, 2010-07-22",2
sacramento_53,2012,2012-07-04,1
sacramento_53,2014,"2014-07-24, 2014-07-25",2
sacramento_53,2016,2016-07-10,1
sacramento_53,2018,2018-07-15,1
sacramento_53,2020,2020-07-08,1
sacramento_53,2022,2022-07-08,1
sacramento_54,2009,2009-07-01,1
sacramento_54,2010,"2010-07-10, 2010-07-22",2
sacramento_54,2012,2012-07-04,1
sacramento_54,2014,"2014-07-24, 2014-07-25",2
sacramento_54,2016,2016-07-10,1
sacramento_54,2018,2018-07-15,1
sacramento_54,2020,2020-07-08,1
sacramento_54,2022,2022-07-08,1
sacramento_55,2009,2009-07-01,1
sacramento_55,2010,"2010-07-10, 2010-07-22",2
sacramento_55,2012,2012-07-04,1
sacramento_55,2014,"2014-07-24, 2014-07-25",2
sacramento_55,2016,2016-07-10,1
sacramento_55,2018,2018-07-15,1
sacramento_55,2020,2020-07-08,1
sacramento_55,2022,2022-07-08,1
sacramento_56,2009,2009-07-01,1
sacramento_56,2010,2010-07-10,1
sacramento_56,2012,2012-07-04,1
sacramento_56,2014,"2014-07-24, 2014-07-25",2
sacramento_56,2016,2016-07-10,1
sacramento_56,2018,2018-07-15,1
sacramento_56,2020,2020-07-08,1
sacramento_56,2022,2022-07-08,1
sacramento_57,2009,2009-07-01,1
sacramento_57,2010,2010-07-10,1
sacramento_57,2012,2012-07-04,1
sacramento_57,2014,"2014-07-24, 2014-07-25",2
sacramento_57,2016,2016-07-10,1
sacramento_57,2018,2018-07-15,1
sacramento_57,2020,2020-07-08,1
sacramento_57,2022,2022-07-08,1
sacramento_58,2009,2009-07-01,1
sacramento_58,2010,2010-07-10,1
sacramento_58,2012,2012-07-04,1
sacramento_58,2014,"2014-07-24, 2014-07-25",2
sacramento_58,2016,2016-07-10,1
sacramento_58,2018,2018-07-15,1
sacramento_58,2020,2020-07-08,1
sacramento_58,2022,2022-07-08,1
sacramento_59,2009,2009-07-01,1
sacramento_59,2010,2010-07-10,1
sacramento_59,2012,2012-07-04,1
sacramento_59,2014,2014-07-24,1
sacramento_59,2016,2016-07-10,1
sacramento_59,2018,2018-07-15,1
sacramento_59,2020,2020-07-08,1
sacramento_59,2022,2022-07-08,1
sacramento_6,2009,2009-07-01,1
sacramento_6,2010,"2010-07-13, 2010-07-19",2
sacramento_6,2012,2012-07-02,1
sacramento_6,2014,2014-07-25,1
sacramento_6,2016,2016-07-16,1
sacramento_6,2018,2018-07-19,1
sacramento_6,2020,2020-07-12,1
sacramento_6,2022,2022-07-16,1
sacramento_60,2009,2009-07-01,1
sacramento_60,2010,2010-07-10,1
sacramento_60,2012,2012-07-04,1
sacramento_60,2014,2014-07-24,1
sacramento_60,2016,2016-07-10,1
sacramento_60,2018,2018-07-15,1
sacramento_60,2020,2020-07-08,1
sacramento_60,2022,2022-07-08,1
sacramento_61,2009,2009-07-01,1
sacramento_61,2010,2010-07-10,1
sacramento_61,2012,2012-07-04,1
sacramento_61,2014,2014-07-24,1
sacramento_61,2016,2016-07-10,1
sacramento_61,2018,2018-07-15,1
sacramento_61,2020,2020-07-08,1
sacramento_61,2022,2022-07-08,1
sacramento_62,2009,2009-07-01,1
sacramento_62,2010,2010-07-10,1
sacramento_62,2012,2012-07-04,1
sacramento_62,2014,"2014-07-24, 2014-07-25",2
sacramento_62,2016,2016-07-10,1
sacramento_62,2018,2018-07-15,1
sacramento_62,2020,2020-07-08,1
sacramento_62,2022,2022-07-08,1
sacramento_63,2009,2009-07-01,1
sacramento_63,2010,2010-07-10,1
sacramento_63,2012,2012-07-04,1
sacramento_63,2014,"2014-07-24, 2014-07-25",2
sacramento_63,2016,2016-07-10,1
sacramento_63,2018,2018-07-15,1
sacramento_63,2020,2020-07-08,1
sacramento_63,2022,2022-07-08,1
sacramento_64,2009,2009-07-01,1
sacramento_64,2010,2010-07-10,1
sacramento_64,2012,2012-07-04,1
sacramento_64,2014,"2014-07-24, 2014-07-25",2
sacramento_64,2016,2016-07-10,1
sacramento_64,2018,2018-07-15,1
sacramento_64,2020,2020-07-08,1
sacramento_64,2022,2022-07-08,1
sacramento_65,2009,2009-07-01,1
sacramento_65,2010,2010-07-10,1
sacramento_65,2012,2012-07-04,1
sacramento_65,2014,"2014-07-24, 2014-07-25",2
sacramento_65,2016,2016-07-10,1
sacramento_65,2018,2018-07-15,1
sacramento_65,2020,2020-07-08,1
sacramento_65,2022,2022-07-08,1
sacramento_66,2009,2009-07-01,1
sacramento_66,2010,2010-07-10,1
sacramento_66,2012,2012-07-04,1
sacramento_66,2014,2014-07-24,1
sacramento_66,2016,"2016-07-09, 2016-07-10",2
sacramento_66,2018,"2018-07-15, 2018-07-20",2
sacramento_66,2020,2020-07-08,1
sacramento_66,2022,2022-07-08,1
sacramento_67,2009,2009-07-01,1
sacramento_67,2010,2010-07-10,1
sacramento_67,2012,2012-07-04,1
sacramento_67,2014,2014-07-24,1
sacramento_67,2016,"2016-07-09, 2016-07-10",2
sacramento_67,2018,"2018-07-15, 2018-07-20",2
sacramento_67,2020,2020-07-08,1
sacramento_67,2022,2022-07-08,1
sacramento_68,2009,2009-07-01,1
sacramento_68,2010,2010-07-10,1
sacramento_68,2012,2012-07-04,1
sacramento_68,2014,"2014-06-20, 2014-07-24",2
sacramento_68,2016,2016-07-09,1
sacramento_68,2018,"2018-07-14, 2018-07-20",2
